https://sputniknews.com/export/rss2/archive/index.xml div itemprop articleBody
https://www.chron.com/rss/feed/News-270.php div class article-content
https://nypost.com/feed/ div class entry-content
http://feeds.bbci.co.uk/news/rss.xml div property articleBody
http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml article id story
https://www.yahoo.com/news/rss/ article itemprop articleBody
https://www.theguardian.com/world/rss div class article-body
http://feeds.washingtonpost.com/rss/politics article itemprop articleBody
https://www.huffingtonpost.com/topic/rss div id entry-text
https://www.cnbc.com/id/100003114/device/rss/rss.html div itemprop articleBody
http://feeds.reuters.com/reuters/UKTopNews div class StandardArticleBody_container
http://thehill.com/rss/syndicator/19110 div class field-item
http://feeds2.feedburner.com/time/topstories div id article-body
https://www.nbcnewyork.com/news/top-stories/?rss=y&embedThumb=y&summary=y div itemprop articleBody
http://rss.dw.com/rdf/rss-en-all div class longText
https://www.hindustantimes.com/rss/topnews/rssfeed.xml div class story-content
https://rss.msn.com/ section itemprop articleBody
https://www.rt.com/rss/ div class article__text
https://www.aljazeera.com/xml/rss/all.xml div class article-p-wrapper
